Module,Module Label,Page,Page Label,App Route,Route Status,Sidebar Path,Function Key,Function Label,Scoped?,What It Controls / Where To Find It,Notes
profix,Profix,ticket_detail,Request Details,/admin/tickets/:id,Live,Click a ticket row → detail page,upload_attach,Upload Attachment,No,Attach-file button on the ticket detail.,
profix,Profix,ticket_detail,Request Details,/admin/tickets/:id,Live,Click a ticket row → detail page,download_attach,Download Attachment,No,Download-file links for existing attachments.,
profix,Profix,ticket_detail,Request Details,/admin/tickets/:id,Live,Click a ticket row → detail page,change_status,Change Status,Yes,""Update Status"" dropdown (Open / In Progress / Closed).,
manage,Manage,employees,Employees,/admin/contacts,Live,Sidebar → Manage → Employee List,create,Add Employee,Yes,""Add Employee"" button on the top-right of Employee List.,Route path in the app is /admin/contacts (not /admin/employees).
manage,Manage,employees,Employees,/admin/contacts,Live,Sidebar → Manage → Employee List,edit,Edit,Yes,Row-level Edit pencil on the employee table.,
manage,Manage,employees,Employees,/admin/contacts,Live,Sidebar → Manage → Employee List,delete,Delete,Yes,Bulk-actions → Deactivate (soft delete).,
manage,Manage,employees,Employees,/admin/contacts,Live,Sidebar → Manage → Employee List,invite,Invite,No,Send login-invite email to an employee.,Not yet a dedicated button — piggy-backs on Add Employee (auto-emails a password).
manage,Manage,employees,Employees,/admin/contacts,Live,Sidebar → Manage → Employee List,import,Import CSV,No,""Upload Employees"" + ""Upload History"" icons in the header.,
manage,Manage,employees,Employees,/admin/contacts,Live,Sidebar → Manage → Employee List,export,Export CSV,No,""Export CSV"" icon in the header.,
manage,Manage,teams,Teams,/admin/teams,Live,Sidebar → Manage → Teams,create,New Team,Yes,""Add New Team"" button.,
manage,Manage,teams,Teams,/admin/teams,Live,Sidebar → Manage → Teams,edit,Edit Team,Yes,Row-level Edit pencil on the team table.,
manage,Manage,teams,Teams,/admin/teams,Live,Sidebar → Manage → Teams,delete,Delete Team,Yes,Row-level Delete on the team table.,
manage,Manage,teams,Teams,/admin/teams,Live,Sidebar → Manage → Teams,assign_members,Assign Members,Yes,Adding / removing employees inside the team edit modal.,
manage,Manage,notifications,Notifications,/admin/notifications,Live,Sidebar → Manage → Notifications,mark_read,Mark as Read,No,Marks notification-log entries as read.,Currently a per-row toggle inside the outbox.
manage,Manage,notifications,Notifications,/admin/notifications,Live,Sidebar → Manage → Notifications,delete,Delete,No,Row-level delete on the outbox log.,
manage,Manage,notifications,Notifications,/admin/notifications,Live,Sidebar → Manage → Notifications,send_notification,Send Notification,Yes,Trigger an ad-hoc notification send.,No dedicated UI button yet — planned. Backend endpoint exists.
manage,Manage,email_templates,Email Templates,/admin/email-templates,Live,Sidebar → Manage → Email Templates,create,New Template,No,""New Template"" button.,
manage,Manage,email_templates,Email Templates,/admin/email-templates,Live,Sidebar → Manage → Email Templates,edit,Edit,No,Row-level Edit pencil AND Duplicate button.,
manage,Manage,email_templates,Email Templates,/admin/email-templates,Live,Sidebar → Manage → Email Templates,delete,Delete,No,Row-level Delete / Reset-to-default icon.,
manage,Manage,email_templates,Email Templates,/admin/email-templates,Live,Sidebar → Manage → Email Templates,test_send,Send Test,No,""Send test email"" action inside the editor.,Currently the Save button triggers a preview; no separate ""Send Test"" button yet.
manage,Manage,reports,Reports,/admin/reports,PLANNED,(not yet in sidebar),export,Export,No,Export report data as CSV/PDF.,Page does not exist yet — placeholder in catalog for future use.
manage,Manage,reports,Reports,/admin/reports,PLANNED,(not yet in sidebar),refresh,Refresh,No,Refresh the report widgets.,Same as above.
manage,Manage,audit_logs,Audit Logs,/admin/audit-logs,PLANNED,(not yet in sidebar),export,Export,No,Export audit log rows as CSV.,Backend has /api/audit-log endpoint but no dedicated page yet. The Permissions audit tab (Round 3) shows only permission-related entries.
manage,Manage,audit_logs,Audit Logs,/admin/audit-logs,PLANNED,(not yet in sidebar),filter,Filter,No,Filter bar on the audit log list.,
manage,Manage,audit_logs,Audit Logs,/admin/audit-logs,PLANNED,(not yet in sidebar),refresh,Refresh,No,Refresh the audit log list.,
manage,Manage,settings,Settings,/admin/settings,PLANNED,(not yet in sidebar),save,Save,No,Save changes on the org-wide Settings page.,Page not built yet. Placeholder.
manage,Manage,settings,Settings,/admin/settings,PLANNED,(not yet in sidebar),reset,Reset,No,Reset settings to defaults.,
desk_booking,Workspace Manager,my_workspace,My Workspace (Dashboard),/admin,Live,Sidebar → Dashboard (Workspace Manager tab),refresh,Refresh,No,Reload the personal Workspace dashboard.,Route is /admin — shared with Profix dashboard via tabs.
desk_booking,Workspace Manager,my_workspace,My Workspace (Dashboard),/admin,Live,Sidebar → Dashboard (Workspace Manager tab),view_floor_plan,View Floor Plan,No,Opens the floor-plan preview from the dashboard card.,
desk_booking,Workspace Manager,my_workspace,My Workspace (Dashboard),/admin,Live,Sidebar → Dashboard (Workspace Manager tab),book_desk,Book a Desk,No,Quick-action ""Book a Desk"" button on the dashboard.,
desk_booking,Workspace Manager,my_workspace,My Workspace (Dashboard),/admin,Live,Sidebar → Dashboard (Workspace Manager tab),book_meeting,Book Meeting Room,No,Quick-action ""Book Meeting Room"" button on the dashboard.,
desk_booking,Workspace Manager,my_workspace,My Workspace (Dashboard),/admin,Live,Sidebar → Dashboard (Workspace Manager tab),request_workstation,Request Workstation,No,Quick-action ""Request Workstation"" button (self-service).,
desk_booking,Workspace Manager,workstation_bookings,Workstation Bookings,/workspace-manager/workstation-booking,Live,Sidebar → Workspace Manager → Workstation Booking,book,Book,Yes,""Save"" button on the Workstation Booking form (admin books for others).,
desk_booking,Workspace Manager,workstation_bookings,Workstation Bookings,/workspace-manager/workstation-booking,Live,Sidebar → Workspace Manager → Workstation Booking,cancel_booking,Cancel Booking,Yes,Cancel a workstation booking from the booking detail drawer.,Also available on the Bookings list page.
desk_booking,Workspace Manager,workstation_bookings,Workstation Bookings,/workspace-manager/workstation-booking,Live,Sidebar → Workspace Manager → Workstation Booking,reschedule,Reschedule,Yes,Reschedule (change date) an existing booking.,Inline edit inside the Bookings detail drawer.
desk_booking,Workspace Manager,workstation_bookings,Workstation Bookings,/workspace-manager/workstation-booking,Live,Sidebar → Workspace Manager → Workstation Booking,export,Export,No,Export booking data.,Planned.
desk_booking,Workspace Manager,workstation_bookings,Workstation Bookings,/workspace-manager/workstation-booking,Live,Sidebar → Workspace Manager → Workstation Booking,refresh,Refresh,No,Refresh icon (top-right) that reloads availability on the floor map.,
desk_booking,Workspace Manager,meeting_room_bookings,Meeting Room Bookings,/workspace-manager/meeting-room-booking,Live,Sidebar → Workspace Manager → Meeting Room Booking,book,Book,Yes,""Book"" button on the meeting-room booking form.,
desk_booking,Workspace Manager,meeting_room_bookings,Meeting Room Bookings,/workspace-manager/meeting-room-booking,Live,Sidebar → Workspace Manager → Meeting Room Booking,cancel_booking,Cancel Booking,Yes,Cancel a meeting-room booking.,
desk_booking,Workspace Manager,meeting_room_bookings,Meeting Room Bookings,/workspace-manager/meeting-room-booking,Live,Sidebar → Workspace Manager → Meeting Room Booking,reschedule,Reschedule,Yes,Reschedule (change date/time) an MR booking.,
desk_booking,Workspace Manager,meeting_room_bookings,Meeting Room Bookings,/workspace-manager/meeting-room-booking,Live,Sidebar → Workspace Manager → Meeting Room Booking,refresh,Refresh,No,Refresh the room availability grid.,
desk_booking,Workspace Manager,workstation_requests,Request Workstation,/workspace-manager/request-workstation,Live,Sidebar → Workspace Manager → Request Workstation,create,Submit Request,No,""Submit Request"" button on the self-service form.,Goes into Pending Approvals queue.
desk_booking,Workspace Manager,workstation_requests,Request Workstation,/workspace-manager/request-workstation,Live,Sidebar → Workspace Manager → Request Workstation,cancel,Cancel Request,Yes,Cancel one's own pending request.,
desk_booking,Workspace Manager,pending_approvals,Pending Approvals,/workspace-manager/pending-approvals,Live,Sidebar → Workspace Manager → Pending Approvals,approve,Approve,Yes,""Approve"" button on each pending request card (single + bulk).,
desk_booking,Workspace Manager,pending_approvals,Pending Approvals,/workspace-manager/pending-approvals,Live,Sidebar → Workspace Manager → Pending Approvals,reject,Reject,Yes,""Decline"" button on each pending request card (single + bulk).,
desk_booking,Workspace Manager,pending_approvals,Pending Approvals,/workspace-manager/pending-approvals,Live,Sidebar → Workspace Manager → Pending Approvals,configure_auto_approval,Configure Auto-Approval,No,Gear icon that opens the Approval Settings modal (matrix rules with Date / Time / Team Member / Manager criteria).,
desk_booking,Workspace Manager,pending_approvals,Pending Approvals,/workspace-manager/pending-approvals,Live,Sidebar → Workspace Manager → Pending Approvals,refresh,Refresh,No,Refresh the approval queue.,
desk_booking,Workspace Manager,floor_layout,Floor Layout,/workspace-manager/floor-layout,Live,Sidebar → Workspace Manager → Floor Layout,refresh,Refresh,No,Refresh seat/booking data on the read-only day view.,No dedicated Refresh button on this page today — reserved for future use.
desk_booking,Workspace Manager,floor_layout,Floor Layout,/workspace-manager/floor-layout,Live,Sidebar → Workspace Manager → Floor Layout,export,Export,No,Export the day's layout data.,Planned.
desk_booking,Workspace Manager,floor_plans,Floor Plans,/workspace-manager/floor-plans,Live,Sidebar → Workspace Manager → Floor Calibration,create,New Plan,No,""New Floor Plan"" button (admin CRUD).,Sidebar label is ""Floor Calibration"" but this page manages floor PLANS (multi-version PDFs + seats).
desk_booking,Workspace Manager,floor_plans,Floor Plans,/workspace-manager/floor-plans,Live,Sidebar → Workspace Manager → Floor Calibration,edit,Edit,No,Row-level Edit pencil on the plan card (opens the calibration screen).,
desk_booking,Workspace Manager,floor_plans,Floor Plans,/workspace-manager/floor-plans,Live,Sidebar → Workspace Manager → Floor Calibration,delete,Delete,No,Delete a floor plan from its card.,
desk_booking,Workspace Manager,floor_plans,Floor Plans,/workspace-manager/floor-plans,Live,Sidebar → Workspace Manager → Floor Calibration,upload,Upload PDF,No,Upload a new PDF for the plan (inside the create/edit modal).,
desk_booking,Workspace Manager,floor_plans,Floor Plans,/workspace-manager/floor-plans,Live,Sidebar → Workspace Manager → Floor Calibration,publish,Publish,No,Toggle the Draft / Live status on a plan.,
desk_booking,Workspace Manager,meeting_rooms,Meeting Rooms,/workspace-manager/meeting-rooms,PLANNED,(not yet in sidebar),create,New Room,No,Add a new meeting room definition.,Page does not exist yet. Meeting rooms are currently managed via the floor calibration screen.
desk_booking,Workspace Manager,meeting_rooms,Meeting Rooms,/workspace-manager/meeting-rooms,PLANNED,(not yet in sidebar),edit,Edit,No,Edit an existing meeting room.,
desk_booking,Workspace Manager,meeting_rooms,Meeting Rooms,/workspace-manager/meeting-rooms,PLANNED,(not yet in sidebar),delete,Delete,No,Delete a meeting room definition.,
desk_booking,Workspace Manager,workstations,Workstations / Seats,/workspace-manager/workstations,PLANNED,(not yet in sidebar),assign_team,Assign to Team,No,Assign a seat to a team (colors it with the team gradient).,Seat-team assignment is done today inside the Floor Calibration screen — not on a dedicated Workstations page.
desk_booking,Workspace Manager,workstations,Workstations / Seats,/workspace-manager/workstations,PLANNED,(not yet in sidebar),unassign,Unassign,No,Remove a seat's team assignment.,
desk_booking,Workspace Manager,workstations,Workstations / Seats,/workspace-manager/workstations,PLANNED,(not yet in sidebar),edit,Edit,No,Edit a seat's label / attributes.,
